Key,SourceString
PT_QS_ULTRA_LARGE_PL_DESC,"Has THIS ever happened to YOU? Black and white footage of a poorly animated mech firing and missing a stationary taget with its lasers, while its mechwarrior nervously watches his recharge timer slowly progress, as return fire knocks their mech around, causing loose items within the cockpit to hit him in the face and chest  Fear no longer!  The Lazermatic 3000X by Quikscell solves this common problem.  Through use of our patented Cyclelux QuickLAS Firing Module (tm) system we can reduce laser recharge time to a fraction of other leading brands!  NEVER BE CAUGHT UNPREPARED!-Note- Quickscell is not responsible for death or injury from use of the Cyclelux QuickLAS Firing Module (tm).   Warranty is void if the Cyclelux QuickLAS Firing Module is opened in any way through either user action or damage.  Class V hazardous enviroment protection is recommended when handling any liquids that may be found within an exposed Cyclelux QuickLAS Firing Module. Traits: Rate of fire can be changed, 5% chance to jam if in the second rate of fire mode."
PT_QS_ULTRA_MEDIUM_PL_NAME,Lazermatic 3000X Mediumest (QS)
PT_QS_ULTRA_MEDIUM_PL_SHORT_NAME,Medium UPL (QS)
PT_QS_ULTRA_MEDIUM_PL_DESC,"Has THIS ever happened to YOU? Black and white footage of a poorly animated mech firing and missing a stationary taget with its lasers, while its mechwarrior nervously watches his recharge timer slowly progress, as return fire knocks their mech around, causing loose items within the cockpit to hit him in the face and chest  Fear no longer!  The Lazermatic 3000X by Quikscell solves this common problem.  Through use of our patented Cyclelux QuickLAS Firing Module (tm) system we can reduce laser recharge time to a fraction of other leading brands!  NEVER BE CAUGHT UNPREPARED!-Note- Quickscell is not responsible for death or injury from use of the Cyclelux QuickLAS Firing Module (tm).   Warranty is void if the Cyclelux QuickLAS Firing Module is opened in any way through either user action or damage.  Class V hazardous enviroment protection is recommended when handling any liquids that may be found within an exposed Cyclelux QuickLAS Firing Module. Traits: Rate of fire can be changed, 5% chance to jam if in the second rate of fire mode."
PT_QS_ULTRA_SMALL_PL_NAME,Lazermatic 3000X Smallest (QS)
PT_QS_ULTRA_SMALL_PL_SHORT_NAME,Small UPL (QS)
PT_QS_ULTRA_SMALL_PL_DESC,"Has THIS ever happened to YOU? Black and white footage of a poorly animated mech firing and missing a stationary taget with its lasers, while its mechwarrior nervously watches his recharge timer slowly progress, as return fire knocks their mech around, causing loose items within the cockpit to hit him in the face and chest  Fear no longer!  The Lazermatic 3000X by Quikscell solves this common problem.  Through use of our patented Cyclelux QuickLAS Firing Module (tm) system we can reduce laser recharge time to a fraction of other leading brands!  NEVER BE CAUGHT UNPREPARED!-Note- Quickscell is not responsible for death or injury from use of the Cyclelux QuickLAS Firing Module (tm).   Warranty is void if the Cyclelux QuickLAS Firing Module is opened in any way through either user action or damage.  Class V hazardous enviroment protection is recommended when handling any liquids that may be found within an exposed Cyclelux QuickLAS Firing Module. Traits: Rate of fire can be changed, 5% chance to jam if in the second rate of fire mode."
PT_QS_LARGE_REX_NAME,Large REX-Pulse (QS)
PT_QS_LARGE_REX_SHORT_NAME,L REX-P Laser (QS)
PT_QS_LARGE_REX_DESC,"REX Lasers, King of the battlefield! Quicsell's revolutionary Re-engineered X-pulse lasers have all the benefits of both re-engineered lasers and the infamous X-pulse technology!"
PT_QS_MEDIUM_REX_NAME,Medium REX-Pulse (QS)
PT_QS_MEDIUM_REX_SHORT_NAME,M REX-P Laser (QS)
PT_QS_MEDIUM_REX_DESC,"REX Lasers, King of the battlefield! Quicsell's revolutionary Re-engineered X-pulse lasers have all the benefits of both re-engineered lasers and the infamous X-pulse technology!"
PT_QS_SMALL_REX_NAME,Small REX-Pulse (QS)
PT_QS_SMALL_REX_SHORT_NAME,S REX-P Laser (QS)
PT_QS_SMALL_REX_DESC,"REX Lasers, King of the battlefield! Quicsell's revolutionary Re-engineered X-pulse lasers have all the benefits of both re-engineered lasers and the infamous X-pulse technology!"
PT_RISC_IHPPC_NAME,Improved Heavy PPC (RISC)
PT_RISC_IHPPC_SHORT_NAME,PPC Heavy Improved (RISC)
PT_RISC_IHPPC_DESC,Developed by Skobel Mechworks on Terra in Conjunction with RISC does this Heavy PPC trade a Reliable Damage profile for some damage potential for and no Minimum Range. Combining Clan ER PPC Technology with the best the Inner sphere has to offer.
PT_PIRATE_GSSL_NAME,Spitfire Series Launcher (G)
PT_PIRATE_GSSL_SHORT_NAME,GSSL (G)
PT_PIRATE_GSSL_DESC,
PT_PIRATE_ARROWIV_NAME,Arrow IV (P)
PT_PIRATE_ARROWIV_SHORT_NAME,Arrow IV (P)
PT_PIRATE_ARROWIV_DESC,"You really should stop getting these bargain sales, Boss! The exhaust goes straight into your 'Mech and its protective housing is completely stripped out!. Reduced Accuracy. Explodes for 100 damage if destroyed. Minimum Range of 260 meters. Has a 1% chance to Jam. Damages Self on Jam. Reduced tracking capabilities. Missile is slower to turn, harder to track, and takes longer to lock on."
PT_PIRATE_ARROW4x4_NAME,Arrow 4x4 (P)
PT_PIRATE_ARROW4x4_SHORT_NAME,Arrow 4x4 (P)
PT_PIRATE_ARROW4x4_DESC,"Some Pirate thought it would be a good idea to take a ancient terran MLRS and put it in a scaled down casing for a Arrow IV system. The old fire control system has been ripped out quite violently as evidenced in some of these bent pieces of structure and a while more modern system has been put in who knows what they have done to the poor thing. Strangely theres been some modifications to the missile tubes, They have been made smaller to use missiles around the size of srms but judging from the look they are heavily modified and are very explosive, theres also some mechanised bits in there that seem to fit standard construction boards."
PT_PIRATE_LRM17_NAME,LRM-17 (P)
PT_PIRATE_LRM17_SHORT_NAME,LRM-17 (P)
PT_PIRATE_LRM17_DESC,"The radar transmitter and guidance computer should be right here, but of course, they're not. I don't have any idea where the missiles are going to go when you fire it. 5% Jam Chance, Explodes for 68 damage when destroyed, +- 30% damage variance"
PT_PIRATE_LRM30_NAME,LRM-30 (P)
PT_PIRATE_LRM30_SHORT_NAME,LRM-30 (P)
PT_PIRATE_LRM30_DESC,"This WAS an LRM20, they somehow managed to override any safeties, removed the guidance computer, and sped up the feeding mechanism. If this explodes and sends you after Kerensky don't ask me to fix it."
PT_PIRATE_SRM4_NAME,SRM-2+2 (P)
PT_PIRATE_SRM4_SHORT_NAME,SRM 4 (P)
PT_PIRATE_SRM4_DESC,"Though this may look like an SRM4, it's not. Some moron welded together two SRM2s, and then stuck on some red LEDs that blink randomly and for no apparent reason. 5% chance to jam, 15% damage variance"
PT_PIRATE_SRM6_NAME,Pirate SRM-4+4 (P)
PT_PIRATE_SRM6_SHORT_NAME,SRM 6 (P)
PT_PIRATE_SRM6_DESC,"This monstrosity is actually two SRM4s strapped together with what looks like bailing wire and a mutilated power coupling system. Several of the missile tubes will occasionally fail to fire. 30% damage variance, 10% chance to Jam, Explodes for 64 damage if destroyed."
PT_QS_LRM5_NAME,LRM 5 (QS)
PT_QS_LRM5_SHORT_NAME,LRM 5 (QS)
PT_QS_LRM5_DESC,"We here at Quicsell know that weight and heat are both paramount when it comes to weapon design, so we managed to trim our LRM launchers down from what our most common competitors use by cutting out some of the unnessesary complexity in their launchers. Who really needs that much guidance hardware anyway? Not you, that's who! Remember to pick up a pack of our LRM ammo while you shop!"
PT_QS_LRM10_NAME,LRM 10 (QS)
PT_QS_LRM10_SHORT_NAME,LRM 10 (QS)
PT_QS_LRM10_DESC,"We here at Quicsell know that weight and heat are both paramount when it comes to weapon design, so we managed to trim our LRM launchers down from what our most common competitors use by cutting out some of the unnessesary complexity in their launchers. Who really needs that much guidance hardware anyway? Not you, that's who! Remember to pick up a pack of our LRM ammo while you shop!"
PT_QS_LRM15_NAME,LRM 15 (QS)
PT_QS_LRM15_SHORT_NAME,LRM 15 (QS)
PT_QS_LRM15_DESC,"We here at Quicsell know that weight and heat are both paramount when it comes to weapon design, so we managed to trim our LRM launchers down from what our most common competitors use by cutting out some of the unnessesary complexity in their launchers. Who really needs that much guidance hardware anyway? Not you, that's who! Remember to pick up a pack of our LRM ammo while you shop!"
PT_QS_LRM20_NAME,LRM 20 (QS)
PT_QS_LRM20_SHORT_NAME,LRM 20 (QS)
PT_QS_LRM20_DESC,"We here at Quicsell know that weight and heat are both paramount when it comes to weapon design, so we managed to trim our LRM launchers down from what our most common competitors use by cutting out some of the unnessesary complexity in their launchers. Who really needs that much guidance hardware anyway? Not you, that's who! Remember to pick up a pack of our LRM ammo while you shop!"
PT_RISC_HMRM10_NAME,Heavy MRM 10 (RISC)
PT_RISC_HMRM10_SHORT_NAME,HMRM 10 (RISC)
PT_RISC_HMRM10_DESC,"Based upon Advances by the Combine and with knowledge from Clan Missile Launchers, RISC Engineers developed the Heavy MRM, able to deliver a heavier payload with guided Missiles at extremely large Volley sizes. Explodes for 24 damage when destroyed, Shots lock on like SRMS"
PT_RISC_HMRM20_NAME,Heavy MRM 20 (RISC)
PT_RISC_HMRM20_SHORT_NAME,HMRM 20 (RISC)
PT_RISC_HMRM20_DESC,"Based upon Advances by the Combine and with knowledge from Clan Missile Launchers, RISC Engineers developed the Heavy MRM, able to deliver a heavier payload with guided Missiles at extremely large Volley sizes. Explodes for 24 damage when destroyed, Shots lock on like SRMS"
PT_RISC_HMRM30_NAME,Heavy MRM 30 (RISC)
PT_RISC_HMRM30_SHORT_NAME,HMRM 30 (RISC)
PT_RISC_HMRM30_DESC,"Based upon Advances by the Combine and with knowledge from Clan Missile Launchers, RISC Engineers developed the Heavy MRM, able to deliver a heavier payload with guided Missiles at extremely large Volley sizes. Explodes for 24 damage when destroyed, Shots lock on like SRMS"
PT_RISC_HMRM40_NAME,Heavy MRM 40 (RISC)
PT_RISC_HMRM40_SHORT_NAME,HMRM 40 (RISC)
PT_RISC_HMRM40_DESC,"Based upon Advances by the Combine and with knowledge from Clan Missile Launchers, RISC Engineers developed the Heavy MRM, able to deliver a heavier payload with guided Missiles at extremely large Volley sizes. Explodes for 24 damage when destroyed, Shots lock on like SRMS"
PT_RISC_MML5_NAME,Multi-Missile Launcher 5 (RISC)
PT_RISC_MML5_SHORT_NAME,MML 5
PT_RISC_MML5_DESC,RISC Engineers took an interest in the Mercenary-created MML systems and tried to adapt them for a more high tech battlefield. Applying weight saving technologies similar to the LBX autocannons allowed them to increase volley sizes.
PT_RISC_MML10_NAME,Multi-Missile Launcher 10 (RISC)
PT_RISC_MML10_SHORT_NAME,MML 10
PT_RISC_MML10_DESC,RISC Engineers took an interest in the Mercenary-created MML systems and tried to adapt them for a more high tech battlefield. Applying weight saving technologies similar to the LBX autocannons allowed them to increase volley sizes.
PT_RISC_MML15_NAME,Multi-Missile Launcher 15 (RISC)
PT_RISC_MML15_SHORT_NAME,MML 15
PT_RISC_MML15_DESC,RISC Engineers took an interest in the Mercenary-created MML systems and tried to adapt them for a more high tech battlefield. Applying weight saving technologies similar to the LBX autocannons allowed them to increase volley sizes.
PT_RISC_MML20_NAME,Multi-Missile Launcher 20 (RISC)
PT_RISC_MML20_SHORT_NAME,MML 20
PT_RISC_MML20_DESC,RISC Engineers took an interest in the Mercenary-created MML systems and tried to adapt them for a more high tech battlefield. Applying weight saving technologies similar to the LBX autocannons allowed them to increase volley sizes.
PT_RISC_SMML3_NAME,Streak Multi-Missile Launcher 3 (RISC)
PT_RISC_SMML3_SHORT_NAME,SMML 3
PT_RISC_SMML3_DESC,
PT_RISC_SMML5_NAME,Streak Multi-Missile Launcher 5 (RISC)
PT_RISC_SMML5_SHORT_NAME,SMML 5
PT_RISC_SMML5_DESC,
PT_RISC_SMML7_NAME,Streak Multi-Missile Launcher 7 (RISC)
PT_RISC_SMML7_SHORT_NAME,SMML 7
PT_RISC_SMML7_DESC,
PT_RISC_SMML9_NAME,Streak Multi-Missile Launcher 9 (RISC)
PT_RISC_SMML9_SHORT_NAME,SMML 9
PT_RISC_SMML9_DESC,
PT_SLDF_LRM5_NAME,LRM 5 (SLDF)
PT_SLDF_LRM5_SHORT_NAME,LRM 5 (SLDF)
PT_SLDF_LRM5_DESC,Long-range missile system that fires 5 guided missiles.
PT_SLDF_LRM10_NAME,LRM 10 (SLDF)
PT_SLDF_LRM10_SHORT_NAME,LRM 10 (SLDF)
PT_SLDF_LRM10_DESC,Long-range missile system that fires 10 guided missiles.
PT_SLDF_LRM15_NAME,LRM 15 (SLDF)
PT_SLDF_LRM15_SHORT_NAME,LRM 15 (SLDF)
PT_SLDF_LRM15_DESC,Long-range missile system that fires 15 guided missiles.
PT_SLDF_LRM20_NAME,LRM 20 (SLDF)
PT_SLDF_LRM20_SHORT_NAME,LRM 20 (SLDF)
PT_SLDF_LRM20_DESC,Long-range missile system that fires 20 guided missiles.
PT_BOMBAST_LASER_NAME,
PT_BOMBAST_LASER_SHORT_NAME,
PT_BOMBAST_LASER_DESC,
